CSC,PSC1,PSC2
42.192958742294586,65.31200572580133,8.97830789010698
33.35646271179107,64.1120988166506,22.110911060666623
29.834927245000724,66.33344389734398,36.636541937703484
33.356462711791075,71.65857789368579,51.38717217585284
42.192958742294586,79.46596273918809,66.21259823602777
33.35646271179107,50.76013202015148,10.494778298319408
21.096479371147286,49.20664716735,22.76889867547459
14.917463622500359,52.0678277831732,37.03736713259225
21.096479371147293,58.70165837965343,51.67370533639003
33.356462711791075,68.01302922853922,66.43522050935742
29.834927245000724,36.50459361966044,24.18123595578684
14.917463622500359,34.31163764796749,31.512133341184484
1.1710898568188683e-14,38.302128435525994,42.96927233422724
14.917463622500366,46.92418405422604,56.07819205369076
29.83492724500073,58.15295777065408,69.9158803487842
33.356462711791075,23.10067422884325,38.78640760659904
21.096479371147293,19.451073815499452,43.7340575568789
14.917463622500374,25.847801399386327,52.59288552274721
21.096479371147304,37.45577183353015,63.75277928597647
33.35646271179108,50.82147471262582,76.20947163982515
42.1929587422946,13.407400425696817,53.56398136395663
33.35646271179108,4.945857754105045,57.24842770698114
29.834927245000742,17.726423032579085,64.27072655682245
33.35646271179109,32.38907346611358,73.68264077256921
42.1929587422946,47.21164610891998,84.69119347461319
0.0,38.302128435525994,42.969272334227234
38.302128435525994,0.0,60.62175199803131
42.969272334227234,60.62175199803131,0.0
